origin_date,target_date,horizon,origin_close,pred_close,actual_close,confidence,abs_error,ape_pct,dir_match,direction,regime,jump_regime_code,jump_signal,branch_used,branch_name
2026-03-31,2026-04-07,4,1020.1,1037.27,1034.28,26.5,2.99,0.28909,True,涨,high,0.0,0.548,True,trend_up
2026-03-31,2026-04-08,5,1020.1,1048.08,1062.0,29.2,13.92,1.310734,True,涨,high,0.0,0.548,True,trend_up
2026-04-01,2026-04-02,1,1053.18,1061.96,1023.78,63.9,38.18,3.729317,False,涨,high,0.0,0.458,True,trend_up
2026-04-01,2026-04-03,2,1053.18,1063.76,1033.0,72.7,30.76,2.977735,False,涨,high,0.0,0.458,True,trend_up
2026-04-01,2026-04-07,3,1053.18,1059.08,1034.28,58.1,24.8,2.397803,False,涨,high,0.0,0.458,True,trend_up
2026-04-01,2026-04-08,4,1053.18,1064.99,1062.0,44.4,2.99,0.281544,True,涨,high,0.0,0.458,True,trend_up
2026-04-01,2026-04-09,5,1053.18,1060.27,1041.32,13.4,18.95,1.819806,False,涨,high,0.0,0.458,True,trend_up
2026-04-02,2026-04-03,1,1023.78,1030.56,1033.0,31.4,2.44,0.236205,True,涨,high,0.0,0.474,True,trend_down
2026-04-02,2026-04-07,2,1023.78,1030.24,1034.28,61.4,4.04,0.39061,True,涨,high,0.0,0.474,True,trend_down
2026-04-02,2026-04-08,3,1023.78,1035.98,1062.0,50.4,26.02,2.450094,True,涨,high,0.0,0.474,True,trend_down
2026-04-02,2026-04-09,4,1023.78,1032.52,1041.32,47.2,8.8,0.845081,True,涨,high,0.0,0.474,True,trend_down
2026-04-02,2026-04-10,5,1023.78,1032.95,1048.36,32.5,15.41,1.469915,True,涨,high,0.0,0.474,True,trend_down
2026-04-03,2026-04-07,1,1033.0,1030.68,1034.28,48.6,3.6,0.348068,False,跌,high,0.0,0.289,True,trend_up
2026-04-03,2026-04-08,2,1033.0,1036.9,1062.0,26.8,25.1,2.363465,True,涨,high,0.0,0.289,True,trend_up
2026-04-03,2026-04-09,3,1033.0,1035.73,1041.32,38.7,5.59,0.536819,True,涨,high,0.0,0.289,True,trend_up
2026-04-03,2026-04-10,4,1033.0,1034.76,1048.36,20.1,13.6,1.297264,True,涨,high,0.0,0.289,True,trend_up
2026-04-03,2026-04-13,5,1033.0,1029.35,1043.4,21.8,14.05,1.346559,False,跌,high,0.0,0.289,True,trend_up
2026-04-07,2026-04-08,1,1034.28,1036.61,1062.0,37.3,25.39,2.390772,True,涨,high,0.0,0.155,True,trend_up
2026-04-07,2026-04-09,2,1034.28,1037.62,1041.32,32.5,3.7,0.355318,True,涨,high,0.0,0.155,True,trend_up
2026-04-07,2026-04-10,3,1034.28,1034.57,1048.36,22.7,13.79,1.315388,True,平,high,0.0,0.155,True,trend_up
2026-04-07,2026-04-13,4,1034.28,1035.32,1043.4,26.6,8.08,0.774391,True,涨,high,0.0,0.155,True,trend_up
2026-04-07,2026-04-14,5,1034.28,1035.0,1052.82,33.3,17.82,1.692597,True,涨,high,0.0,0.155,True,trend_up
2026-04-08,2026-04-09,1,1062.0,1062.29,1041.32,41.2,20.97,2.01379,False,平,high,0.0,0.501,True,trend_up
2026-04-08,2026-04-10,2,1062.0,1062.6,1048.36,33.5,14.24,1.358312,False,涨,high,0.0,0.501,True,trend_up
